OPERATION MORNING SUN OFFICIAL REFERENCE MATRIX  - 3. PROJECTS
Project,Owning Entity,Executing Entity ,Parent Initiative,terminal date ,description,Phase,Source of truth
Global State Solutions – Business Plan,Global State Solutions,global state solutions ,global state solutions foundation  ,2026-08-31,Establishes Global State Solutions' business plan and brand identity as its own operational entity.,1,Global State Solutions drive
Global State Corp. – Business Plan,Global State Corp.,global state corp. ,global state corp. foundation,2026-09-02,"Establishes Global State Corp.'s business plan and brand identity, separate from the OFL, Seeds of Destruction, and I Am The State ventures it owns.",1,Global State Solutions drive
HYS Broadcast – Business Plan,Global State Productions,Global State Productions,Help Yourself Broadcast foundation ,2026-09-02,"Establishes Help Yourself Broadcast's business plan and brand identity, distinct from Global State Productions' general identity.",1,Global State Solutions drive
Global State Productions – Business Plan,Global State Productions,Global State Productions,global state productions foundation ,2026-09-11,"Establishes Global State Productions' business plan and brand identity, separate from any single production it executes.",1,Global State Solutions drive
Global State Systems – Business Plan,Global State Systems,global state systems,global state systems foundation ,2026-09-14,"Establishes Global State Systems' business plan and brand identity, separate from The Jericho System's own output.",1,Global State Solutions drive
OFL 7 Seals – Business Plan,Global State Corp.,global state corp. ,7 seals foundation,2026-10-09,"Establishes Our Fearless Leader: 7 Seals' own business plan as a first-of-its-kind venture, distinct from Global State Corp.'s general identity.",1,Global State Solutions drive
Imaginary CEO – Business Plan,Global State Productions,Global State Productions,imaginary ceo foundation ,2026-10-13,"Establishes The Imaginary CEO's own business plan as an audience-facing venture, distinct from Global State Productions' general identity.",1,Global State Solutions drive
Global State Holdings – Business Plan,Global State Holdings,Global State Holdings,global state holdings foundation ,2026-09-17,Establishes Global State Holdings' business plan and brand identity as the enterprise's real-estate arm.,1,Global State Solutions drive
Global State Academy – Business Plan,Global State Academy,Global State Academy,global state academy foundation ,2026-09-20,Establishes Global State Academy's business plan and brand identity as the enterprise's education arm.,1,Global State Solutions drive
F8 Energy – Business Plan,F8 Energy company,F8 Energy company,f8 foundation,2026-09-23,Establishes F8 Energy's business plan and brand identity as the enterprise's consumer-products arm.,1,Global State Solutions drive
F8 Energy Gum business plan,F8 Energy company,F8 Energy company,f8 energy gum foundation,2026-11-06,"Establishes F8 Energy GUM's business plan, distinct from F8 Energy's general identity, as its first product line.",1,Global State Solutions drive
Seeds of Destruction – Business Plan,Global State Corp.,global state corp. ,seeds of destruction foundation ,2026-10-20,"Establishes Seeds of Destruction's own business plan, distinct from 7 Seals, as its own trilogy venture.",1,Global State Solutions drive
79th Street Renovation – Business Plan,Global State Holdings,Global State Holdings,79th street foundation,2026-10-01,Establishes 79th Street Renovation's business plan as the venture acquiring and restoring the building housing GSS HQ and Academy #1.,1,Global State Solutions drive
First Academy Building – Business Plan,Global State Academy,Global State Academy,First Academy Building Foundation ,2026-10-05,Establishes First Academy Building's business plan as the venture standing up the Academy's first physical school location.,1,Global State Solutions drive
I Am The State – Business Plan,Global State Corp.,global state corp. ,I AM THE STATE foundation,2026-10-27,Establishes I Am The State's business plan as the enterprise's terminal creative venture.,1,Global State Solutions drive
State of Control Business plan ,Global State Productions ,Global State Productions,state of control foundation,2026-09-05,"Establishes State of Control's own business plan and brand identity following its promotion out of OFL's Foundation coverage into a standing, ongoing venture.",1,Global State Solutions drive
ofl 3 Romance Riot,Global State Corp.,global state corp. Global State Productions,ofl 7 seals,2026-12-17,"Ships the third OFL tape (12 songs) plus its promo visuals (D8 N8, Blackman) and Deluxe Edition; the launch convergence anchor for the whole rollout.",1,"spotify,apple music, youtube channel. "
ofl 4 painkillers,Global State Corp.,global state corp. Global State Productions,ofl 7 seals,2027-04-01,"Ships the fourth OFL tape (10 songs), continuing the 7 Seals rollout at the established 3.5-month cadence.",1,"spotify,apple music, youtube channel. "
ofl 5 coronation,Global State Corp. ,global state corp. Global State Productions,ofl 7 seals,2027-07-16,Ships the fifth OFL tape (10 songs).,1,"spotify,apple music, youtube channel. "
ofl 6 savior,Global State Corp. ,global state corp. Global State Productions,ofl 7 seals,2027-10-31,Ships the sixth OFL tape (10 songs).,1,"spotify,apple music, youtube channel. "
ofl 7 sacrifice,Global State Corp. ,global state corp. Global State Productions,ofl 7 seals,2028-02-17,"Ships the seventh and final OFL tape (10 songs), closing the 7 Seals series.",1,"spotify,apple music, youtube channel. "
