OPERATION MORNING SUN OFFICIAL REFERENCE MATRIX  - 6. SYSTEMS
System,Owning Entity (or Cross-cutting),What it does (mechanism),Feeds / Converges Into,Phase,Work State,Status,Notes
music system,Global State Corp.,Writing/recording – mix/master – tape release on the OFL cadence,marketing flywheel; financial funnel system,,running,CONFIRMED,GS Corp's core operating engine. Blob-persisted.
production system,Global State Productions,"Concept/script – shoot/edit – shipped visual deliverable (short films, episodes, features)",music system releases; marketing flywheel,,running,CONFIRMED,GS Productions' core engine.
software system,Global State Systems,Build – ship – iterate on Jericho and apps,financial funnel system (software sales – GSS); GSS-dogfoods-Jericho loop,,building,CONFIRMED,"Renamed from 'software systems' (blob). Outputs: Jericho, 1.0 App, patent."
financial funnel system,Global State Solutions,Revenue from every venture – collected – allocated by GSS to entities and projects,Global State Solutions – 'Funds from software sales flow to the PM company' (the persisted edge),,pending first revenue,CONFIRMED,Owner locked: GSS.
GSS-dogfoods-Jericho loop,Global State Solutions,GSS operates on Jericho; Jericho improves from GSS use,The Jericho System,,active (this workbook is the loop),CONFIRMED,From v1.1.
Marketing flywheel,Cross-cutting,"Content (music/film/podcast/app) – audience discovery (editorial pitch, promo content batches, pre-save campaigns) – audience capture (multi-channel: pre-save, platform follow, app signup – not email-only) – cross-venture promotion (each release markets the next; IC dramatizes Jericho; State of Control rides OFL's audience) – conversion (product/software sales) – revenue – reinvestment into next release, cascading up to the GSS parent brand",financial funnel system,,broken edge: no capture mechanism yet scheduled as a Project,CONFIRMED,Mechanism broadened from single email-capture bottleneck to full cascade per doctrine. Broken edge persists – nothing on Projects tab builds the capture layer yet.
79th Street Corridor System,Global State Holdings,"Acquire abandoned/distressed property – renovate/flip – hold or resell, corridor-wide (Stony Island to Exchange)",79th Street Renovation initiative,3,building,CONFIRMED,"Aims to turn the corridor profitable; long-term crime/poverty reduction is hoped-for, not attested. Gated on 79th St Foundation Plan (2026-10-01)."
Academy Site Acquisition System,Global State Holdings,Acquire land/property specifically for Academy franchise expansion,Global State Academy franchise sites,3,building,CONFIRMED,"Distinct pipeline from 79th St – franchise-site selection, not corridor revitalization. First Academy Building is the pilot; system built to replicate."
Education system,Global State Academy,Acquire site (via Academy Site Acquisition System) – build/renovate – enroll students – operate school,First Academy Building initiative; future Academy franchise sites,3,building,CONFIRMED,"Franchise model – ""McDonald's-like,"" minus food. First Academy Building is the pilot location."
Consumer products system,F8 Energy,Formulate product – produce – distribute – sell,F8 Energy GUM Project; future F8 product lines,2,building,CONFIRMED,GUM is F8's first product; system built to support additional lines once F8's Foundation Plan and ops lane mature.
